#Frame                com          pep          pro         bind
      3.4900       2.5328       1.6085       2.5221       1.9703
      3.5000       2.5814       1.4466       2.5933       1.8793
      3.5100       2.5291       1.4448       2.5469       1.8204
      3.5200       2.5218       1.5586       2.5213       1.9247
      3.5300       2.5576       1.5100       2.5637       1.8781
      3.5400       2.5941       1.3902       2.5981       1.9933
      3.5500       2.3773       1.4533       2.3891       1.7997
      3.5600       2.4514       1.4748       2.4636       1.8414
      3.5700       2.6247       1.4997       2.6425       1.9145
      3.5800       2.7007       1.5952       2.7092       1.8766
      3.5900       2.6299       1.5717       2.6600       1.9197
      3.6000       2.6467       1.5956       2.6617       1.8529
      3.6100       2.6582       1.5967       2.6690       1.8684
      3.6200       2.6032       1.5039       2.6328       1.8797
      3.6300       2.5529       1.6166       2.5572       1.9647
      3.6400       2.6180       1.6940       2.6244       1.8783
      3.6500       2.7162       1.7077       2.7269       1.9642
      3.6600       2.6891       1.8220       2.6910       1.9868
      3.6700       2.7541       1.8383       2.7676       2.1165
      3.6800       2.6657       1.6579       2.6795       1.9990
      3.6900       2.6401       1.7373       2.6399       2.0238
      3.7000       2.6561       1.8604       2.6664       2.0248
      3.7100       2.6196       1.8485       2.6137       2.0541
      3.7200       2.6885       1.9228       2.6807       2.0840
      3.7300       2.8072       1.9445       2.8115       2.1360
      3.7400       2.7781       1.7304       2.7709       2.1396
      3.7500       2.6094       1.7530       2.5981       2.0537
      3.7600       2.6536       1.6695       2.6556       2.0971
      3.7700       2.6445       1.9013       2.6400       2.0839
      3.7800       2.5649       1.6615       2.5788       1.8915
      3.7900       2.5901       1.7316       2.5942       2.0379
      3.8000       2.5889       1.7564       2.5828       2.0110
      3.8100       2.7238       1.9631       2.7114       2.1356
      3.8200       2.7932       1.8668       2.7942       2.1404
      3.8300       2.7742       1.9314       2.7709       2.1949
      3.8400       2.6996       1.8149       2.7036       2.0821
      3.8500       2.6448       1.7726       2.6529       2.0772
      3.8600       2.6119       1.6320       2.6317       2.0001
      3.8700       2.6777       1.6099       2.6855       1.9883
      3.8800       2.7577       1.5675       2.7646       2.0307
      3.8900       2.6361       1.5985       2.6486       1.9579
      3.9000       2.5521       1.4704       2.5736       1.8779
      3.9100       2.6056       1.6008       2.6222       1.9111
      3.9200       2.6987       1.5820       2.7041       1.9836
      3.9300       2.6423       1.5845       2.6592       1.9012
      3.9400       2.7280       1.6670       2.7431       1.9847
      3.9500       2.7253       1.7448       2.7402       1.9937
      3.9600       2.5723       1.6318       2.5824       1.9163
      3.9700       2.5535       1.6634       2.5609       1.9691
      3.9800       2.6881       1.6602       2.7198       1.9463
